Ops,Reseller,Rate,Destination,App,Connect,Duration,Conn In,Duration In
2,0,grn_premium,5022254,audio,0,922,,
2,0,grn_premium,5022473,audio,0,922,,
2,0,grn_premium,5022438,audio,0,922,,
2,0,grn_premium,5027926,audio,0,922,,
2,0,grn_premium,5026633,audio,0,922,,
2,0,grn_premium,5027830,audio,0,922,,
2,0,grn_premium,5027832,audio,0,922,,
2,0,grn_premium,5027833,audio,0,922,,
2,0,grn_premium,5027834,audio,0,922,,
2,0,grn_premium,5027838,audio,0,922,,
2,0,grn_premium,5027839,audio,0,922,,
2,0,grn_premium,5027840,audio,0,922,,
2,0,grn_premium,5027780,audio,0,922,,
2,0,grn_premium,5027841,audio,0,922,,
2,0,grn_premium,5027771,audio,0,922,,
2,0,grn_premium,502776,audio,0,922,,
2,0,grn_premium,5027770,audio,0,922,,
2,0,grn_premium,5026644,audio,0,922,,
2,0,grn_premium,5026650,audio,0,922,,
2,0,grn_premium,5026646,audio,0,922,,
2,0,grn_premium,5026645,audio,0,922,,
2,0,grn_premium,5027842,audio,0,922,,
2,0,grn_premium,5027844,audio,0,922,,
2,0,grn_premium,5027952,audio,0,922,,
2,0,grn_premium,5026632,audio,0,922,,
2,0,grn_premium,5026631,audio,0,922,,
2,0,grn_premium,5026636,audio,0,922,,
2,0,grn_premium,5022483,audio,0,922,,
2,0,grn_premium,5027831,audio,0,922,,
2,0,grn_premium,5027845,audio,0,922,,
2,0,grn_premium,5027776,audio,0,922,,
2,0,grn_premium,5027775,audio,0,922,,
2,0,grn_premium,5027843,audio,0,922,,
2,0,grn_premium,5027774,audio,0,922,,
2,0,grn_premium,5027846,audio,0,922,,
2,0,grn_premium,5027849,audio,0,922,,
2,0,grn_premium,5027773,audio,0,922,,
2,0,grn_premium,5027772,audio,0,922,,
2,0,grn_premium,5027777,audio,0,922,,
2,0,grn_premium,5026635,audio,0,922,,
2,0,grn_premium,5027935,audio,0,922,,
2,0,grn_premium,5026629,audio,0,922,,
2,0,grn_premium,5027721,audio,0,922,,
2,0,grn_premium,5027720,audio,0,922,,
2,0,grn_premium,5027934,audio,0,922,,
2,0,grn_premium,5027928,audio,0,922,,
2,0,grn_premium,5027936,audio,0,922,,
2,0,grn_premium,5027937,audio,0,922,,
2,0,grn_premium,5027938,audio,0,922,,
2,0,grn_premium,502794,audio,0,922,,
2,0,grn_premium,5027888,audio,0,922,,
2,0,grn_premium,5027887,audio,0,922,,
2,0,grn_premium,5027886,audio,0,922,,
2,0,grn_premium,5027923,audio,0,922,,
2,0,grn_premium,5027950,audio,0,922,,
2,0,grn_premium,5027951,audio,0,922,,
2,0,grn_premium,5027722,audio,0,922,,
2,0,grn_premium,5027736,audio,0,922,,
2,0,grn_premium,5027737,audio,0,922,,
2,0,grn_premium,5026643,audio,0,922,,
2,0,grn_premium,5026637,audio,0,922,,
2,0,grn_premium,5026640,audio,0,922,,
2,0,grn_premium,5026641,audio,0,922,,
2,0,grn_premium,5026642,audio,0,922,,
2,0,grn_premium,5026634,audio,0,922,,
2,0,grn_premium,5026630,audio,0,922,,
2,0,grn_premium,5027738,audio,0,922,,
2,0,grn_premium,5022449,audio,0,922,,
2,0,grn_premium,5027756,audio,0,922,,
2,0,grn_premium,5027755,audio,0,922,,
2,0,grn_premium,57312,audio,0,920,,
2,0,grn_premium,57311,audio,0,918,,
2,0,grn_premium,57321,audio,0,918,,
2,0,grn_premium,9054,audio,0,916,,
2,0,grn_premium,35796,audio,0,914,,
2,0,grn_premium,683,audio,0,9133,,
2,0,grn_premium,976,audio,0,909,,
2,0,grn_premium,46765,audio,0,906,,
2,0,grn_premium,46676,audio,0,906,,
2,0,grn_premium,46764,audio,0,906,,
2,0,grn_premium,467615,audio,0,906,,
2,0,grn_premium,591222,audio,0,901,,
2,0,grn_premium,591286,audio,0,901,,
2,0,grn_premium,591284,audio,0,901,,
2,0,grn_premium,591283,audio,0,901,,
2,0,grn_premium,591282,audio,0,901,,
2,0,grn_premium,591223,audio,0,901,,
2,0,grn_premium,591285,audio,0,901,,
2,0,grn_premium,591287,audio,0,901,,
2,0,grn_premium,591229,audio,0,901,,
2,0,grn_premium,591226,audio,0,901,,
2,0,grn_premium,591225,audio,0,901,,
2,0,grn_premium,591228,audio,0,901,,
2,0,grn_premium,591224,audio,0,901,,
2,0,grn_premium,591227,audio,0,901,,
2,0,grn_premium,591221,audio,0,901,,
2,0,grn_premium,84122,audio,0,899,,
2,0,grn_premium,467010,audio,0,893,,
2,0,grn_premium,230875,audio,0,893,,
2,0,grn_premium,230877,audio,0,893,,
2,0,grn_premium,23025,audio,0,893,,
2,0,grn_premium,23094,audio,0,893,,
2,0,grn_premium,23091,audio,0,893,,
2,0,grn_premium,467200,audio,0,893,,
2,0,grn_premium,467389,audio,0,893,,
2,0,grn_premium,23079,audio,0,893,,
2,0,grn_premium,23078,audio,0,893,,
2,0,grn_premium,23077,audio,0,893,,
2,0,grn_premium,23076,audio,0,893,,
2,0,grn_premium,467015,audio,0,893,,
2,0,grn_premium,230471,audio,0,893,,
2,0,grn_premium,23070,audio,0,893,,
2,0,grn_premium,23075,audio,0,893,,
2,0,grn_premium,467387,audio,0,893,,
2,0,grn_premium,230876,audio,0,893,,
2,0,grn_premium,467614,audio,0,893,,
2,0,grn_premium,467382,audio,0,893,,
2,0,grn_premium,467012,audio,0,893,,
2,0,grn_premium,467017,audio,0,893,,
2,0,grn_premium,46376,audio,0,893,,
2,0,grn_premium,46518,audio,0,893,,
2,0,grn_premium,467220,audio,0,893,,
2,0,grn_premium,467223,audio,0,893,,
2,0,grn_premium,467207,audio,0,893,,
2,0,grn_premium,4670191,audio,0,893,,
2,0,grn_premium,46702,audio,0,893,,
2,0,grn_premium,46703,audio,0,893,,
2,0,grn_premium,46705,audio,0,893,,
2,0,grn_premium,46706,audio,0,893,,
2,0,grn_premium,467013,audio,0,893,,
2,0,grn_premium,467384,audio,0,893,,
2,0,grn_premium,467613,audio,0,893,,
2,0,grn_premium,467677,audio,0,893,,
2,0,grn_premium,467612,audio,0,893,,
2,0,grn_premium,467611,audio,0,893,,
2,0,grn_premium,467678,audio,0,893,,
2,0,grn_premium,467688,audio,0,893,,
2,0,grn_premium,467215,audio,0,893,,
2,0,grn_premium,467217,audio,0,893,,
2,0,grn_premium,467664,audio,0,893,,
2,0,grn_premium,467689,audio,0,893,,
2,0,grn_premium,467685,audio,0,893,,
2,0,grn_premium,1819264,audio,0,893,,
2,0,grn_premium,46674,audio,0,893,,
2,0,grn_premium,467190002,audio,0,893,,
2,0,grn_premium,1819221,audio,0,893,,
2,0,grn_premium,4672,audio,0,893,,
2,0,grn_premium,4671,audio,0,893,,
2,0,grn_premium,467353,audio,0,893,,
2,0,grn_premium,467190001,audio,0,893,,
2,0,grn_premium,4670197,audio,0,893,,
2,0,grn_premium,467683,audio,0,893,,
2,0,grn_premium,467679,audio,0,893,,
2,0,grn_premium,467680,audio,0,893,,
2,0,grn_premium,467610,audio,0,893,,
2,0,grn_premium,467380,audio,0,893,,
2,0,grn_premium,467381,audio,0,893,,
2,0,grn_premium,467383,audio,0,893,,
2,0,grn_premium,467319,audio,0,893,,
2,0,grn_premium,467682,audio,0,893,,
2,0,grn_premium,467681,audio,0,893,,
2,0,grn_premium,467676,audio,0,893,,
2,0,grn_premium,467684,audio,0,893,,
2,0,grn_premium,46739,audio,0,893,,
2,0,grn_premium,46707,audio,0,893,,
2,0,grn_premium,467202,audio,0,893,,
2,0,grn_premium,1819268,audio,0,893,,
2,0,grn_premium,1819265,audio,0,893,,
2,0,grn_premium,467318,audio,0,893,,
2,0,grn_premium,4673456,audio,0,893,,
2,0,grn_premium,230578,audio,0,893,,
2,0,grn_premium,467322,audio,0,893,,
2,0,grn_premium,467656,audio,0,893,,
2,0,grn_premium,467670,audio,0,893,,
2,0,grn_premium,467658,audio,0,893,,
2,0,grn_premium,4676696,audio,0,893,,
2,0,grn_premium,4676722,audio,0,893,,
2,0,grn_premium,467693,audio,0,893,,
2,0,grn_premium,4676667,audio,0,893,,
2,0,grn_premium,4673461,audio,0,893,,
2,0,grn_premium,467692,audio,0,893,,
2,0,grn_premium,467321,audio,0,893,,
2,0,grn_premium,4673171,audio,0,893,,
2,0,grn_premium,46704,audio,0,893,,
2,0,grn_premium,467690,audio,0,893,,
2,0,grn_premium,46762,audio,0,893,,
2,0,grn_premium,4676720,audio,0,893,,
2,0,grn_premium,4676723,audio,0,893,,
2,0,grn_premium,467642,audio,0,893,,
2,0,grn_premium,46252,audio,0,893,,
2,0,grn_premium,467655,audio,0,893,,
2,0,grn_premium,46700,audio,0,893,,
2,0,grn_premium,4673469,audio,0,893,,
2,0,grn_premium,467355,audio,0,893,,
2,0,grn_premium,467357,audio,0,893,,
2,0,grn_premium,467356,audio,0,893,,
2,0,grn_premium,467358,audio,0,893,,
2,0,grn_premium,46736,audio,0,893,,
2,0,grn_premium,467359,audio,0,893,,
2,0,grn_premium,4676721,audio,0,893,,
2,0,grn_premium,4676695,audio,0,893,,
2,0,grn_premium,467694,audio,0,893,,
2,0,grn_premium,467657,audio,0,893,,
2,0,grn_premium,467659,audio,0,893,,
2,0,grn_premium,467641,audio,0,893,,
2,0,grn_premium,467201,audio,0,893,,
2,0,grn_premium,467640,audio,0,893,,
2,0,grn_premium,4676698,audio,0,893,,
2,0,grn_premium,4676725,audio,0,893,,
2,0,grn_premium,467327,audio,0,893,,
2,0,grn_premium,467221,audio,0,893,,
2,0,grn_premium,467329,audio,0,893,,
2,0,grn_premium,467016,audio,0,893,,
2,0,grn_premium,467316,audio,0,893,,
2,0,grn_premium,467311,audio,0,893,,
2,0,grn_premium,46730,audio,0,893,,
2,0,grn_premium,467224,audio,0,893,,
2,0,grn_premium,46519,audio,0,893,,
2,0,grn_premium,46673,audio,0,893,,
2,0,grn_premium,467222,audio,0,893,,
2,0,grn_premium,4670195,audio,0,893,,
2,0,grn_premium,4670190,audio,0,893,,
2,0,grn_premium,467018,audio,0,893,,
2,0,grn_premium,467203,audio,0,893,,
2,0,grn_premium,467671,audio,0,893,,
2,0,grn_premium,46737,audio,0,893,,
2,0,grn_premium,4670,audio,0,893,,
2,0,grn_premium,4676,audio,0,893,,
2,0,grn_premium,4676724,audio,0,893,,
2,0,grn_premium,4676699,audio,0,893,,
2,0,grn_premium,467691,audio,0,893,,
2,0,grn_premium,4676697,audio,0,893,,
2,0,grn_premium,467665,audio,0,893,,
2,0,grn_premium,467672673,audio,0,893,,
2,0,grn_premium,467351,audio,0,893,,
2,0,grn_premium,467618,audio,0,893,,
2,0,grn_premium,467354,audio,0,893,,
2,0,grn_premium,467619,audio,0,893,,
2,0,grn_premium,467616,audio,0,893,,
2,0,grn_premium,467352,audio,0,893,,
2,0,grn_premium,46675,audio,0,893,,
2,0,grn_premium,467350,audio,0,893,,
2,0,grn_premium,467617,audio,0,893,,
2,0,grn_premium,4673,audio,0,893,,
2,0,grn_premium,467204,audio,0,893,,
2,0,grn_premium,4670196,audio,0,893,,
2,0,grn_premium,46734605,audio,0,893,,
2,0,grn_premium,467632,audio,0,893,,
2,0,grn_premium,467231,audio,0,893,,
2,0,grn_premium,467233,audio,0,893,,
2,0,grn_premium,467232,audio,0,893,,
2,0,grn_premium,467230,audio,0,893,,
